transaction_date,description,category,amount
2025-11-30,Clicks,Shopping,129.1
2026-07-17,Woolworths,Food,1156.19
2025-06-11,Clicks,Shopping,4419.49
2025-09-17,Spotify,Entertainment,4114.3
2026-08-22,Woolworths,Food,2294.85
2026-02-03,Clicks,Shopping,3244.33
2025-02-15,Water Bill,Utilities,470.1
2025-01-02,Pharmacy,Medical,1042.74
2025-01-24,Fuel Station,Transport,116.49
2025-05-21,Amazon,Shopping,2462.16
2026-07-17,Pharmacy,Medical,1450.66
2025-06-15,McDonalds,Food,2491.73
2026-07-15,Woolworths,Food,1600.51
2026-05-26,Fuel Station,Transport,2918.68
2025-01-13,Water Bill,Utilities,1211.65
2025-03-08,Sanlam,Insurance,1013.05
2026-03-18,Takealot,Shopping,4644.24
2025-04-08,Bolt,Transport,2997.89
2025-02-14,Checkers,Food,581.3
2026-01-19,Showmax,Entertainment,1357.78
2025-06-23,Doctor Visit,Medical,1238.88
2025-01-18,Pick n Pay,Food,440.39
2026-07-30,Netflix,Entertainment,4401.32
2025-11-14,Takealot,Shopping,2621.64
2026-04-11,Showmax,Entertainment,1621.52
2025-10-05,Clicks,Shopping,52.08
2025-08-16,Takealot,Shopping,163.7
2025-05-25,Electricity,Utilities,2927.53
2026-07-04,Woolworths,Food,2097.74
2026-08-03,Amazon,Shopping,4221.33
2026-06-27,Takealot,Shopping,2352.77
2025-05-06,Sanlam,Insurance,2457.74
2025-11-21,Netflix,Entertainment,1372.13
2025-12-01,Electricity,Utilities,4138.48
2026-02-10,Bolt,Transport,2276.52
2025-11-12,Electricity,Utilities,1034.73
2026-07-15,Amazon,Shopping,3472.25
2025-01-31,Spotify,Entertainment,1763.0
2026-06-04,Spotify,Entertainment,500.59
2026-04-05,Fuel Station,Transport,2335.07
2025-07-16,Doctor Visit,Medical,1957.69
2026-08-06,Takealot,Shopping,710.83
2026-01-16,Spotify,Entertainment,4455.07
2025-09-25,Uber,Transport,2159.32
2026-04-05,Amazon,Shopping,4012.81
2026-02-02,Doctor Visit,Medical,4978.12
2025-12-24,Doctor Visit,Medical,4708.97
2025-09-27,Fuel Station,Transport,3054.01
2025-01-30,Woolworths,Food,4561.54
2025-12-14,Woolworths,Food,4009.25
2025-07-06,Doctor Visit,Medical,4511.65
2025-08-25,Checkers,Food,1851.5
2025-02-18,Sanlam,Insurance,2326.08
2026-02-19,Pick n Pay,Food,2465.71
2025-06-17,Pharmacy,Medical,3256.46
2025-10-02,Old Mutual,Insurance,2048.77
2026-07-22,Pharmacy,Medical,4811.84
2025-11-23,Water Bill,Utilities,1641.98
2025-04-08,Takealot,Shopping,1680.3
2026-08-04,Bolt,Transport,1952.51
2025-05-26,Takealot,Shopping,2713.07
2026-04-07,Clicks,Shopping,3204.61
2025-08-03,Doctor Visit,Medical,1866.47
2025-01-01,Pharmacy,Medical,2696.54
2025-09-21,Spotify,Entertainment,1305.19
2025-12-22,Spotify,Entertainment,2157.75
2026-02-06,McDonalds,Food,3361.2
2025-02-02,Sanlam,Insurance,3092.71
2026-04-22,Electricity,Utilities,4602.46
2025-04-03,Water Bill,Utilities,459.36
2025-08-25,Spotify,Entertainment,4130.52
2025-08-29,Showmax,Entertainment,1698.43
2025-08-23,Old Mutual,Insurance,3038.1
2025-07-29,McDonalds,Food,4038.69
2025-07-19,Pick n Pay,Food,2457.02
2026-04-07,KFC,Food,4643.83
2026-02-02,Water Bill,Utilities,4076.74
2025-01-03,Netflix,Entertainment,3164.05
2025-12-05,Woolworths,Food,1351.54
2025-06-11,Clicks,Shopping,4545.23
2025-07-17,Pharmacy,Medical,1182.42
2025-03-02,Sanlam,Insurance,1155.08
2026-02-09,Clicks,Shopping,2421.89
2025-02-05,Clicks,Shopping,2092.22
2025-09-13,Old Mutual,Insurance,3108.64
2025-08-31,Old Mutual,Insurance,1447.49
2025-09-08,Water Bill,Utilities,2009.24
2026-03-14,Amazon,Shopping,2866.44
2025-02-19,Sanlam,Insurance,4710.4
2025-02-18,Doctor Visit,Medical,3149.85
2026-01-06,Takealot,Shopping,4305.36
2025-08-05,Doctor Visit,Medical,4000.42
2025-12-18,Water Bill,Utilities,1771.52
2025-01-03,Fuel Station,Transport,2244.2
2026-06-03,Pick n Pay,Food,1897.0
2025-09-04,Amazon,Shopping,2828.77
2026-05-20,Clicks,Shopping,4673.02
2026-06-07,Amazon,Shopping,3804.46
2026-05-13,Electricity,Utilities,1876.1
2025-10-30,Electricity,Utilities,3541.12
2025-01-10,Discovery,Insurance,559.75
2025-11-16,Pharmacy,Medical,3482.15
2025-05-10,Pharmacy,Medical,4706.09
2026-05-18,Old Mutual,Insurance,2276.0
2026-03-23,Pharmacy,Medical,4050.49
2025-01-11,Doctor Visit,Medical,2246.91
2025-01-19,Doctor Visit,Medical,2853.53
2025-07-17,Fuel Station,Transport,2250.53
2025-10-10,Amazon,Shopping,570.28
2026-02-19,Doctor Visit,Medical,3659.26
2025-07-04,Electricity,Utilities,4552.62
2026-02-11,KFC,Food,1985.96
2025-12-16,Pharmacy,Medical,3204.04
2025-05-30,Pharmacy,Medical,669.0
2025-02-02,Checkers,Food,139.87
2025-01-08,McDonalds,Food,1022.15
2026-07-06,Netflix,Entertainment,800.45
2025-03-04,Amazon,Shopping,2253.96
2025-04-29,Discovery,Insurance,4180.25
2026-01-25,Electricity,Utilities,4225.22
2025-05-06,Uber,Transport,3262.63
2025-01-04,Doctor Visit,Medical,3381.19
2026-04-19,Sanlam,Insurance,4982.58
2025-06-18,Discovery,Insurance,4471.86
2026-03-24,Sanlam,Insurance,123.89
2026-08-02,Uber,Transport,2213.23
2025-05-26,Pharmacy,Medical,750.52
2025-02-18,Clicks,Shopping,393.34
2025-08-11,McDonalds,Food,1900.95
2026-02-18,Electricity,Utilities,3205.03
2025-07-28,Discovery,Insurance,3078.5
2025-01-16,Sanlam,Insurance,956.94
2025-03-20,Spotify,Entertainment,1415.93
2026-02-15,Fuel Station,Transport,2739.94
2026-02-11,Bolt,Transport,4544.17
2026-04-28,Bolt,Transport,4881.06
2025-02-03,Electricity,Utilities,3421.89
2025-12-27,Spotify,Entertainment,4103.06
2025-11-29,KFC,Food,2242.16
2025-02-10,KFC,Food,3805.34
2026-05-02,Sanlam,Insurance,727.14
2025-01-19,Electricity,Utilities,1706.04
2025-12-22,Doctor Visit,Medical,1271.73
2025-12-05,Amazon,Shopping,440.15
2025-12-15,Checkers,Food,1539.2
2026-04-22,Electricity,Utilities,449.35
2025-08-15,Fuel Station,Transport,1609.49
2026-02-19,Takealot,Shopping,4989.99
2025-02-23,Sanlam,Insurance,127.16
2025-10-30,Takealot,Shopping,1084.91
2025-03-15,Amazon,Shopping,4416.38
2025-09-14,Pharmacy,Medical,4125.22
2025-11-11,Water Bill,Utilities,2950.79
2025-07-27,Old Mutual,Insurance,964.3
2025-10-28,Uber,Transport,1314.68
2026-07-25,Electricity,Utilities,1950.52
2025-01-20,Doctor Visit,Medical,1513.62
2026-05-25,Spotify,Entertainment,3513.09
2026-07-01,Uber,Transport,118.4
2025-02-22,Discovery,Insurance,4498.85
2025-10-30,Water Bill,Utilities,4041.63
2025-02-21,Pharmacy,Medical,499.59
2025-01-18,Spotify,Entertainment,1583.55
2025-05-26,Pharmacy,Medical,3623.77
2026-04-02,Spotify,Entertainment,883.46
2026-01-05,Takealot,Shopping,3870.5
2026-08-20,Doctor Visit,Medical,1195.46
2026-08-04,Doctor Visit,Medical,1225.27
2025-06-28,Showmax,Entertainment,161.25
2025-03-24,Takealot,Shopping,3699.27
2025-06-18,Doctor Visit,Medical,4809.85
2025-09-24,Pharmacy,Medical,598.86
2026-08-21,Checkers,Food,465.69
2025-03-02,Old Mutual,Insurance,4064.96
2025-05-19,Takealot,Shopping,3303.5
2025-01-30,Pharmacy,Medical,1226.42
2026-02-10,Fuel Station,Transport,3189.02
2025-12-13,Pick n Pay,Food,1256.27
2025-01-12,McDonalds,Food,1391.78
2025-02-16,Checkers,Food,2519.41
2025-07-28,Pick n Pay,Food,1728.24
2026-03-28,Amazon,Shopping,442.09
2026-08-14,Pharmacy,Medical,2724.71
2025-11-20,Old Mutual,Insurance,4397.8
2025-04-06,Spotify,Entertainment,1315.76
2025-07-23,Discovery,Insurance,3958.52
2026-07-26,Sanlam,Insurance,2334.26
2025-08-05,Pharmacy,Medical,1765.89
2026-08-03,KFC,Food,1798.53
2026-06-02,Pharmacy,Medical,1995.34
2025-06-17,Amazon,Shopping,3913.1
2025-11-30,Fuel Station,Transport,2086.45
2025-05-27,Bolt,Transport,4231.82
2025-06-21,Showmax,Entertainment,3470.26
2025-03-10,Water Bill,Utilities,3205.61
2025-12-14,Spotify,Entertainment,2863.53
2026-03-30,Electricity,Utilities,1731.36
2025-03-22,Bolt,Transport,2534.25
2025-02-23,Amazon,Shopping,2284.16
2026-02-07,Amazon,Shopping,1268.58
2025-05-17,Takealot,Shopping,757.27
2025-02-04,Checkers,Food,4684.25
2026-01-28,Fuel Station,Transport,2083.35
2025-12-30,Bolt,Transport,2948.91
2025-08-18,Discovery,Insurance,2455.81
2025-08-26,Electricity,Utilities,1747.03
2025-07-20,Pick n Pay,Food,2311.71
2025-11-15,Fuel Station,Transport,3964.02
2026-05-08,Takealot,Shopping,4620.16
2025-06-29,Woolworths,Food,2911.16
2025-06-23,Amazon,Shopping,1269.39
2025-11-13,Checkers,Food,4406.34
2025-04-20,Pharmacy,Medical,199.75
2026-05-10,McDonalds,Food,1881.24
2026-08-03,Pharmacy,Medical,3060.41
2026-03-18,Discovery,Insurance,4825.85
2025-06-07,Takealot,Shopping,3083.32
2025-11-19,Discovery,Insurance,749.51
2026-01-09,Spotify,Entertainment,1888.58
2025-07-31,Clicks,Shopping,144.27
2025-12-30,Fuel Station,Transport,187.17
2026-05-23,Electricity,Utilities,4426.24
2026-04-22,Old Mutual,Insurance,3856.55
2025-12-03,Woolworths,Food,3620.17
2025-06-06,Takealot,Shopping,4131.49
2026-08-19,Showmax,Entertainment,3547.1
2026-07-23,Water Bill,Utilities,2064.93
2025-02-16,Fuel Station,Transport,4976.97
2025-12-24,Fuel Station,Transport,3410.88
2026-02-21,Clicks,Shopping,731.66
2025-05-31,Water Bill,Utilities,492.28
2025-03-25,Sanlam,Insurance,4628.02
2025-12-16,KFC,Food,2445.13
2025-10-12,Water Bill,Utilities,4459.54
2026-01-11,Showmax,Entertainment,1939.03
2026-05-17,Pharmacy,Medical,4519.29
2026-08-13,Electricity,Utilities,2330.12
2025-05-31,Showmax,Entertainment,4094.05
2026-06-06,Discovery,Insurance,586.15
2026-04-15,Spotify,Entertainment,2861.8
2025-01-16,Netflix,Entertainment,1753.63
2025-10-07,Pharmacy,Medical,2415.9
2025-03-07,Spotify,Entertainment,2538.15
2026-07-04,Electricity,Utilities,4102.8
2025-08-05,Amazon,Shopping,4579.22
2026-03-20,Discovery,Insurance,152.05
2026-04-25,Clicks,Shopping,81.04
2025-09-29,Water Bill,Utilities,1700.33
2026-01-21,Pharmacy,Medical,4012.19
2025-10-03,Netflix,Entertainment,4227.83
2026-07-15,Netflix,Entertainment,881.65
2025-09-13,Pharmacy,Medical,3087.76
2025-08-03,Showmax,Entertainment,4414.97
2025-11-27,Checkers,Food,480.65
2025-04-24,Fuel Station,Transport,2485.01
2026-03-02,Doctor Visit,Medical,656.8
2025-09-02,Fuel Station,Transport,1429.05
2025-10-29,Amazon,Shopping,4932.53
2026-04-03,Doctor Visit,Medical,877.98
2026-03-23,Bolt,Transport,193.17
2025-11-30,Uber,Transport,967.54
2026-07-10,Discovery,Insurance,4085.01
2026-01-26,Fuel Station,Transport,1221.59
2026-08-10,Netflix,Entertainment,3705.52
2026-03-13,Pick n Pay,Food,1490.4
2026-07-26,Pharmacy,Medical,94.95
2025-08-13,Uber,Transport,3580.06
2026-01-02,Showmax,Entertainment,3907.46
2025-02-28,Amazon,Shopping,3345.21
2025-04-09,Pharmacy,Medical,1303.11
2026-02-17,Takealot,Shopping,4018.7
2025-05-27,Takealot,Shopping,1124.88
2025-10-29,Pharmacy,Medical,210.05
2025-09-26,Doctor Visit,Medical,2286.05
2025-12-21,Clicks,Shopping,3879.59
2026-08-18,Netflix,Entertainment,743.07
2026-05-14,Old Mutual,Insurance,3665.09
2026-01-28,Netflix,Entertainment,1866.5
2026-05-17,Netflix,Entertainment,123.94
2026-06-26,Pick n Pay,Food,2593.04
2026-03-26,Old Mutual,Insurance,1377.59
2026-06-18,Amazon,Shopping,2692.09
2025-03-07,McDonalds,Food,2799.65
2026-04-10,Showmax,Entertainment,3530.51
2025-09-23,Sanlam,Insurance,2258.4
2025-12-19,Netflix,Entertainment,3605.2
2026-03-03,Water Bill,Utilities,2613.23
2026-04-22,Spotify,Entertainment,1526.86
2026-05-30,McDonalds,Food,2618.33
2025-04-28,Takealot,Shopping,3363.71
2026-03-29,Electricity,Utilities,1107.14
2025-05-28,Uber,Transport,4941.09
2025-02-13,McDonalds,Food,4144.46
2025-07-31,Electricity,Utilities,4802.46
2025-03-16,Sanlam,Insurance,2125.68
2026-07-07,Water Bill,Utilities,2134.66
2025-02-21,Electricity,Utilities,2588.08
2025-11-07,Checkers,Food,183.8
2025-10-30,Fuel Station,Transport,308.05
2026-06-22,Amazon,Shopping,637.79
2025-02-27,Showmax,Entertainment,3767.66
2026-05-13,Electricity,Utilities,3605.21
2025-12-30,Clicks,Shopping,3237.57
2025-09-15,Bolt,Transport,529.52
2025-10-14,Bolt,Transport,3559.83
2025-01-18,Pick n Pay,Food,1557.41
2025-12-17,Fuel Station,Transport,2575.85
2025-01-05,Showmax,Entertainment,2602.05
2025-05-18,Woolworths,Food,3553.28
2026-07-10,Electricity,Utilities,4142.36
2025-01-26,Water Bill,Utilities,4788.93
2026-03-15,Netflix,Entertainment,4418.05
2025-10-21,Woolworths,Food,4253.1
2025-07-03,Fuel Station,Transport,2695.48
2025-12-27,Old Mutual,Insurance,2791.74
2025-09-01,Bolt,Transport,3768.27
2025-10-02,Amazon,Shopping,2322.06
2026-07-08,Sanlam,Insurance,227.02
2026-02-13,Uber,Transport,1709.93
2025-01-27,Electricity,Utilities,189.11
2025-07-25,Amazon,Shopping,3720.3
2026-01-27,Bolt,Transport,1130.67
2025-11-18,Old Mutual,Insurance,3843.57
2026-08-09,Takealot,Shopping,3473.59
2025-01-08,Netflix,Entertainment,3983.7
2025-04-23,Electricity,Utilities,2116.91
2026-02-03,Discovery,Insurance,395.45
2026-03-11,Uber,Transport,999.15
2025-07-10,Netflix,Entertainment,726.39
2025-08-01,Sanlam,Insurance,3691.09
2026-06-03,Amazon,Shopping,139.29
2025-07-11,Amazon,Shopping,1698.74
2025-10-06,Pick n Pay,Food,1660.21
2026-01-31,Pharmacy,Medical,649.63
2025-06-27,McDonalds,Food,205.2
2025-07-18,Showmax,Entertainment,3456.1
2025-02-03,Clicks,Shopping,2334.07
2025-09-02,Doctor Visit,Medical,3891.93
2026-05-13,Electricity,Utilities,4669.4
2025-05-31,Clicks,Shopping,1863.21
2025-07-30,Water Bill,Utilities,1448.15
2026-07-16,Clicks,Shopping,1078.19
2026-05-27,Sanlam,Insurance,187.56
2025-05-05,Showmax,Entertainment,2665.14
2026-07-13,Electricity,Utilities,3775.61
2026-01-29,Showmax,Entertainment,1380.66
2026-05-08,Amazon,Shopping,1219.98
2025-07-01,KFC,Food,3738.1
2026-04-27,Electricity,Utilities,3416.15
2025-03-12,Amazon,Shopping,1419.58
2025-09-05,Uber,Transport,2133.94
2025-09-30,Sanlam,Insurance,3523.3
2026-05-21,Spotify,Entertainment,4789.9
2025-04-28,Discovery,Insurance,1161.84
2026-01-20,Sanlam,Insurance,1813.28
2025-09-03,Electricity,Utilities,4218.62
2026-03-08,Amazon,Shopping,2503.35
2025-01-17,Electricity,Utilities,3620.19
2025-12-25,Uber,Transport,4209.85
2025-10-26,Doctor Visit,Medical,1931.73
2026-06-15,Discovery,Insurance,1083.78
2025-08-11,KFC,Food,4623.92
2026-04-15,Netflix,Entertainment,2918.11
2025-02-13,Bolt,Transport,3912.62
2025-05-23,Doctor Visit,Medical,387.69
2026-01-10,Checkers,Food,3416.41
2026-01-06,Netflix,Entertainment,1938.02
2025-04-16,Amazon,Shopping,2526.12
2025-06-28,Old Mutual,Insurance,1296.16
2025-08-08,Netflix,Entertainment,3538.47
2026-04-16,Pick n Pay,Food,789.55
2026-06-14,Amazon,Shopping,227.34
2025-06-16,Old Mutual,Insurance,4461.52
2026-02-21,Amazon,Shopping,4964.55
2025-04-07,Showmax,Entertainment,4682.71
2025-10-26,Showmax,Entertainment,2455.77
2025-03-12,Old Mutual,Insurance,2067.05
2025-09-06,McDonalds,Food,240.41
2026-04-29,Fuel Station,Transport,226.96
2026-07-27,Sanlam,Insurance,4837.12
2025-09-08,Pharmacy,Medical,2627.43
2025-10-04,Woolworths,Food,1737.27
